QuestionType,Question,QuestionID,Answer
radio,Radio 1,q1,5
radio,Radio 2,q2,5
radio,Radio 3,q3,5
radioGrid,Hololens_The system was easy to use,q7,4
radioGrid,Oculus Rift_The system was easy to use,q7,4
radioGrid,Vive_The system was easy to use,q7,4
radioGrid,Magic Leap_The system was easy to use,q7,4
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -It's too expensive,q9,
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -The technology isn't that good yet ,q9,
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -There is not enough content and/or games ,q9,
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -I don't like wearing the headset ,q9,
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't immersive enough,q9,
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't better than traditional gaming,q9,
linearSlider,Temporal Demand:			How hurried or rushed was the pace of the task?,s1,0
linearSlider,Physical Demand:				How physically demanding was the task?,s2,6
linearSlider,Mental Demand:				How mentally demanding was the task?,s3,10
linearGrid,Mental Demand:				How mentally demanding was the task?,s4,17
linearGrid,Physical Demand:				How physically demanding was the task?,s5,17
linearGrid,Temporal Demand:		    How hurried or rushed was the pace of the task?,s6,18
dropdown,Demanding,d1,0
dropdown,Mental,d2,0
dropdown,Physical,d3,0

