QuestionType,Question,QuestionID,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB
radio,Radio 1,q1,5,,3,4,,5,5
radio,Radio 2,q2,5,,2,4,,5,4
radio,Radio 3,q3,5,,1,4,,5,2
radioGrid,Hololens_The system was easy to use,q7,5,5,3,4,5,5,3
radioGrid,Oculus Rift_The system was easy to use,q7,5,5,5,4,5,5,1
radioGrid,Vive_The system was easy to use,q7,5,5,3,4,5,5,1
radioGrid,Magic Leap_The system was easy to use,q7,5,5,3,4,5,5,3
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -It's too expensive,q9,,,1,,,,
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -The technology isn't that good yet ,q9,,,,,,,
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -There is not enough content and/or games ,q9,,,,,,,1
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -I don't like wearing the headset ,q9,,,,,,,
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't immersive enough,q9,,,,,,,
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't better than traditional gaming,q9,,,,,,,
linearSlider,Temporal Demand:			How hurried or rushed was the pace of the task?,s1,0,0,0,0,0,0,0
linearSlider,Physical Demand:				How physically demanding was the task?,s2,6,6,9,6,6,6,6
linearSlider,Mental Demand:				How mentally demanding was the task?,s3,10,10,20,10,10,10,10
linearGrid,Mental Demand:				How mentally demanding was the task?,s4,20,19,20,18,20,19,6
linearGrid,Physical Demand:				How physically demanding was the task?,s5,20,19,11,19,20,19,13
linearGrid,Temporal Demand:		    How hurried or rushed was the pace of the task?,s6,20,20,11,19,20,20,18
dropdown,Demanding,d1,0,0,0,0,0,0,0
dropdown,Mental,d2,0,0,0,0,0,0,0
dropdown,Physical,d3,0,0,0,0,0,0,0

